Date,Discharge,
01/05/2010,2670,2.67
02/05/2010,2770,2.77
03/05/2010,2800,2.8
04/05/2010,2750,2.75
05/05/2010,2720,2.72
06/05/2010,2680,2.68
07/05/2010,2600,2.6
08/05/2010,2500,2.5
09/05/2010,2390,2.39
10/05/2010,2310,2.31
11/05/2010,2250,2.25
12/05/2010,2250,2.25
13/05/2010,2330,2.33
14/05/2010,2420,2.42
15/05/2010,2550,2.55
16/05/2010,2710,2.71
17/05/2010,2940,2.94
18/05/2010,3230,3.23
19/05/2010,3480,3.48
20/05/2010,3930,3.93
21/05/2010,4380,4.38
22/05/2010,4970,4.97
23/05/2010,5270,5.27
24/05/2010,5260,5.26
25/05/2010,4970,4.97
26/05/2010,4590,4.59
27/05/2010,4380,4.38
28/05/2010,4490,4.49
29/05/2010,4550,4.55
30/05/2010,4620,4.62
31/05/2010,4720,4.72
01/06/2010,4830,4.83
02/06/2010,4840,4.84
03/06/2010,5020,5.02
04/06/2010,4860,4.86
05/06/2010,4880,4.88
06/06/2010,5080,5.08
07/06/2010,5150,5.15
08/06/2010,5100,5.1
09/06/2010,5080,5.08
10/06/2010,5180,5.18
11/06/2010,5270,5.27
12/06/2010,5370,5.37
13/06/2010,5510,5.51
14/06/2010,5610,5.61
15/06/2010,5610,5.61
16/06/2010,5680,5.68
17/06/2010,5780,5.78
18/06/2010,5670,5.67
19/06/2010,5500,5.5
20/06/2010,5400,5.4
21/06/2010,5370,5.37
22/06/2010,5330,5.33
23/06/2010,5420,5.42
24/06/2010,5560,5.56
25/06/2010,5690,5.69
26/06/2010,5780,5.78
27/06/2010,5880,5.88
28/06/2010,5950,5.95
29/06/2010,5900,5.9
30/06/2010,5700,5.7
01/07/2010,5430,5.43
02/07/2010,5220,5.22
03/07/2010,5040,5.04
04/07/2010,4860,4.86
05/07/2010,4650,4.65
06/07/2010,4420,4.42
07/07/2010,4340,4.34
08/07/2010,4450,4.45
09/07/2010,4550,4.55
10/07/2010,4530,4.53
11/07/2010,4470,4.47
12/07/2010,4540,4.54
13/07/2010,4590,4.59
14/07/2010,4510,4.51
15/07/2010,4450,4.45
16/07/2010,4370,4.37
17/07/2010,4170,4.17
18/07/2010,3960,3.96
19/07/2010,3820,3.82
20/07/2010,3690,3.69
21/07/2010,3580,3.58
22/07/2010,3500,3.5
23/07/2010,3470,3.47
24/07/2010,3390,3.39
25/07/2010,3380,3.38
26/07/2010,3410,3.41
27/07/2010,3430,3.43
28/07/2010,3430,3.43
29/07/2010,3350,3.35
30/07/2010,3260,3.26
31/07/2010,3190,3.19
01/08/2010,3180,3.18
02/08/2010,3200,3.2
03/08/2010,3180,3.18
04/08/2010,3140,3.14
05/08/2010,3070,3.07
06/08/2010,3010,3.01
07/08/2010,2930,2.93
08/08/2010,2860,2.86
09/08/2010,2840,2.84
10/08/2010,2840,2.84
11/08/2010,2860,2.86
12/08/2010,2840,2.84
13/08/2010,2800,2.8
14/08/2010,2710,2.71
15/08/2010,2640,2.64
16/08/2010,2600,2.6
17/08/2010,2550,2.55
18/08/2010,2540,2.54
19/08/2010,2520,2.52
20/08/2010,2520,2.52
21/08/2010,2500,2.5
22/08/2010,2460,2.46
23/08/2010,2420,2.42
24/08/2010,2310,2.31
25/08/2010,2180,2.18
26/08/2010,2070,2.07
27/08/2010,2030,2.03
28/08/2010,1980,1.98
29/08/2010,1960,1.96
30/08/2010,1980,1.98
31/08/2010,2020,2.02
01/09/2010,2070,2.07
02/09/2010,2010,2.01
03/09/2010,1890,1.89
04/09/2010,1840,1.84
05/09/2010,1870,1.87
06/09/2010,1870,1.87
07/09/2010,1860,1.86
08/09/2010,1880,1.88
09/09/2010,1950,1.95
10/09/2010,1970,1.97
11/09/2010,1890,1.89
12/09/2010,1810,1.81
13/09/2010,1790,1.79
14/09/2010,1740,1.74
15/09/2010,1700,1.7
16/09/2010,1700,1.7
17/09/2010,1690,1.69
18/09/2010,1670,1.67
19/09/2010,1670,1.67
20/09/2010,1810,1.81
21/09/2010,1860,1.86
22/09/2010,1750,1.75
23/09/2010,1750,1.75
24/09/2010,1780,1.78
25/09/2010,1780,1.78
26/09/2010,1880,1.88
27/09/2010,1940,1.94
28/09/2010,2000,2
29/09/2010,2350,2.35
30/09/2010,2540,2.54
01/10/2010,2770,2.77
02/10/2010,3090,3.09
03/10/2010,3040,3.04
04/10/2010,2780,2.78
05/10/2010,2550,2.55
06/10/2010,2330,2.33
07/10/2010,2190,2.19
08/10/2010,2080,2.08
09/10/2010,2020,2.02
10/10/2010,2070,2.07
11/10/2010,1980,1.98
12/10/2010,1890,1.89
13/10/2010,1820,1.82
14/10/2010,1770,1.77
15/10/2010,1800,1.8
16/10/2010,1790,1.79
17/10/2010,1770,1.77
18/10/2010,1690,1.69
19/10/2010,1620,1.62
20/10/2010,1560,1.56
21/10/2010,1520,1.52
22/10/2010,1520,1.52
23/10/2010,1720,1.72
24/10/2010,1880,1.88
25/10/2010,1890,1.89
26/10/2010,1810,1.81
27/10/2010,1730,1.73
28/10/2010,1670,1.67
29/10/2010,1610,1.61
30/10/2010,1580,1.58
31/10/2010,1560,1.56
01/11/2010,1630,1.63
02/11/2010,1700,1.7
03/11/2010,1530,1.53
04/11/2010,1480,1.48
05/11/2010,1490,1.49
06/11/2010,1520,1.52
07/11/2010,1550,1.55
08/11/2010,1520,1.52
09/11/2010,1520,1.52
10/11/2010,1530,1.53
11/11/2010,1530,1.53
12/11/2010,1500,1.5
13/11/2010,1460,1.46
14/11/2010,1450,1.45
15/11/2010,1500,1.5
16/11/2010,1610,1.61
17/11/2010,1540,1.54
18/11/2010,1610,1.61
19/11/2010,1650,1.65
20/11/2010,1550,1.55
21/11/2010,1330,1.33
22/11/2010,1110,1.11
23/11/2010,870,0.87
24/11/2010,800,0.8
25/11/2010,750,0.75
26/11/2010,800,0.8
27/11/2010,860,0.86
28/11/2010,908,0.91
29/11/2010,1010,1.01
30/11/2010,1020,1.02
01/12/2010,1060,1.06
02/12/2010,1130,1.13
03/12/2010,1150,1.15
04/12/2010,1140,1.14
05/12/2010,1110,1.11
06/12/2010,1070,1.07
07/12/2010,1010,1.01
08/12/2010,994,0.99
09/12/2010,1080,1.08
10/12/2010,1090,1.09
11/12/2010,1060,1.06
12/12/2010,1250,1.25
13/12/2010,1330,1.33
14/12/2010,1200,1.2
15/12/2010,1150,1.15
16/12/2010,1100,1.1
17/12/2010,1050,1.05
18/12/2010,1000,1
19/12/2010,945,0.95
20/12/2010,897,0.9
21/12/2010,885,0.89
22/12/2010,803,0.8
23/12/2010,780,0.78
24/12/2010,831,0.83
25/12/2010,921,0.92
26/12/2010,951,0.95
27/12/2010,998,1
28/12/2010,1010,1.01
29/12/2010,961,0.96
30/12/2010,931,0.93
31/12/2010,893,0.89
01/01/2011,813.5538144,0.81
02/01/2011,742.7340206,0.74
03/01/2011,748.96375,0.75
04/01/2011,782.742268,0.78
05/01/2011,822.9625,0.82
06/01/2011,831.695,0.83
07/01/2011,862.425,0.86
08/01/2011,864.6475,0.86
09/01/2011,846.92875,0.85
10/01/2011,802.365,0.8
11/01/2011,730.1320833,0.73
12/01/2011,740.5306667,0.74
13/01/2011,740.5517526,0.74
14/01/2011,950.0486598,0.95
15/01/2011,1018.2575,1.02
16/01/2011,1178.81732,1.18
17/01/2011,1345.548866,1.35
18/01/2011,1088.300632,1.09
19/01/2011,942.0470103,0.94
20/01/2011,862.495,0.86
21/01/2011,851.3624742,0.85
22/01/2011,856.335,0.86
23/01/2011,863.4787234,0.86
24/01/2011,885.8812371,0.89
25/01/2011,919.8404124,0.92
26/01/2011,931.5806186,0.93
27/01/2011,949.2325,0.95
28/01/2011,958.445,0.96
29/01/2011,960.1958333,0.96
30/01/2011,941.4741667,0.94
31/01/2011,878.875,0.88
01/02/2011,826.13,0.83
02/02/2011,833.66375,0.83
03/02/2011,905.982268,0.91
04/02/2011,1089.88,1.09
05/02/2011,1148.917083,1.15
06/02/2011,1084.5325,1.08
07/02/2011,1099.067083,1.1
08/02/2011,1024.937732,1.02
09/02/2011,968.8033333,0.97
10/02/2011,946.8263918,0.95
11/02/2011,931,0.93
12/02/2011,975.8708333,0.98
13/02/2011,1012.024167,1.01
14/02/2011,1008.553402,1.01
15/02/2011,1016.295833,1.02
16/02/2011,964.9075,0.96
17/02/2011,948.5633333,0.95
18/02/2011,905.2791667,0.91
19/02/2011,854.41,0.85
20/02/2011,781.995,0.78
21/02/2011,759.1356701,0.76
22/02/2011,771.46,0.77
23/02/2011,803.5257732,0.8
24/02/2011,786.8470103,0.79
25/02/2011,747.2498969,0.75
26/02/2011,695.2848958,0.7
27/02/2011,685.5863542,0.69
28/02/2011,728.3185417,0.73
01/03/2011,719.1793814,0.72
02/03/2011,717.7325,0.72
03/03/2011,692.5213402,0.69
04/03/2011,674.9,0.67
05/03/2011,689.3760417,0.69
06/03/2011,712.7213542,0.71
07/03/2011,726.0252083,0.73
08/03/2011,728.8867708,0.73
09/03/2011,720.5628125,0.72
10/03/2011,731.3657732,0.73
11/03/2011,757.565,0.76
12/03/2011,748.71,0.75
13/03/2011,763.8465979,0.76
14/03/2011,818.6630928,0.82
15/03/2011,837.86375,0.84
16/03/2011,870.09,0.87
17/03/2011,853.9725,0.85
18/03/2011,817.47625,0.82
19/03/2011,808.2975,0.81
20/03/2011,805.40125,0.81
21/03/2011,811.21125,0.81
22/03/2011,812.025,0.81
23/03/2011,812.75125,0.81
24/03/2011,814.62375,0.81
25/03/2011,812.935,0.81
26/03/2011,815.6235052,0.82
27/03/2011,824.17875,0.82
28/03/2011,839.428866,0.84
29/03/2011,826.45375,0.83
30/03/2011,867.3393814,0.87
31/03/2011,1062.138333,1.06
01/04/2011,1067.4,1.07
02/04/2011,1141.551667,1.14
03/04/2011,1078.64,1.08
04/04/2011,1174.136495,1.17
05/04/2011,1169.801667,1.17
06/04/2011,1194.7975,1.19
