Length mm,Site,Salinity,Days survived,Tank,,
22,High,11,4,A,,5
19,High,11,8,A,,8
20,High,11,9,A,,11
23,High,11,9,A,,14
23,High,11,9,A,,17
26,High,11,20,A,,20
23,Low,11,6,A,,
23,Low,11,50,A,,
25,Low,11,50,A,,
23,Low,11,50,A,,
22,Low,11,50,A,,
16,Low,11,50,A,,
24,High,5,4,B,,
30,High,5,4,B,,
26,High,5,4,B,,
20,High,5,4,B,,
24,High,5,5,B,,
27,High,5,5,B,,
19,Low,5,4,B,,
19,Low,5,4,B,,
24,Low,5,4,B,,
19,Low,5,4,B,,
23,Low,5,6,B,,
22,Low,5,6,B,,
26,High,20,50,C,,
23,High,20,50,C,,
26,High,20,50,C,,
27,High,20,50,C,,
27,High,20,50,C,,
23,High,20,50,C,,
24,Low,20,50,C,,
16,Low,20,50,C,,
18,Low,20,50,C,,
20,Low,20,50,C,,
21,Low,20,50,C,,
25,Low,20,50,C,,
26,High,8,4,D,,
23,High,8,4,D,,
21,High,8,4,D,,
26,High,8,4,D,,
31,High,8,6,D,,
24,High,8,6,D,,
24,Low,8,5,D,,
23,Low,8,6,D,,
22,Low,8,7,D,,
18,Low,8,7,D,,
20,Low,8,8,D,,
19,Low,8,8,D,,
24,High,14,4,E,,
24,High,14,27,E,,
25,High,14,50,E,,
20,High,14,50,E,,
21,High,14,50,E,,
25,High,14,50,E,,
23,Low,14,50,E,,
22,Low,14,50,E,,
25,Low,14,50,E,,
19,Low,14,50,E,,
26,Low,14,50,E,,
15,Low,14,50,E,,
20,High,11,6,F,,
23,High,11,7,F,,
25,High,11,9,F,,
25,High,11,13,F,,
20,High,11,13,F,,
25,High,11,13,F,,
24,Low,11,4,F,,
23,Low,11,4,F,,
20,Low,11,4,F,,
19,Low,11,4,F,,
19,Low,11,50,F,,
22,Low,11,50,F,,
24,High,17,50,G,,
25,High,17,50,G,,
25,High,17,50,G,,
22,High,17,50,G,,
23,High,17,50,G,,
22,High,17,50,G,,
18,Low,17,50,G,,
26,Low,17,50,G,,
22,Low,17,50,G,,
18,Low,17,50,G,,
20,Low,17,50,G,,
19,Low,17,50,G,,
28,High,20,7,H,,
27,High,20,50,H,,
25,High,20,50,H,,
23,High,20,50,H,,
26,High,20,50,H,,
22,High,20,50,H,,
22,Low,20,50,H,,
28,Low,20,50,H,,
26,Low,20,50,H,,
20,Low,20,50,H,,
29,Low,20,50,H,,
21,Low,20,50,H,,
22,High,5,4,I,,
31,High,5,4,I,,
28,High,5,4,I,,
21,High,5,4,I,,
25,High,5,4,I,,
25,High,5,4,I,,
18,Low,5,4,I,,
18,Low,5,4,I,,
19,Low,5,5,I,,
16,Low,5,5,I,,
21,Low,5,5,I,,
23,Low,5,9,I,,
24,High,14,4,J,,
26,High,14,50,J,,
20,High,14,50,J,,
26,High,14,50,J,,
22,High,14,50,J,,
23,High,14,50,J,,
24,Low,14,50,J,,
24,Low,14,50,J,,
22,Low,14,50,J,,
16,Low,14,50,J,,
17,Low,14,50,J,,
16,Low,14,50,J,,
28,High,11,7,K,,
26,High,11,7,K,,
24,High,11,9,K,,
24,High,11,13,K,,
25,High,11,27,K,,
16,High,11,27,K,,
20,Low,11,50,K,,
17,Low,11,50,K,,
18,Low,11,50,K,,
22,Low,11,50,K,,
30,Low,11,50,K,,
13,Low,11,50,K,,
22,High,8,4,L,,
34,High,8,4,L,,
21,High,8,4,L,,
24,High,8,5,L,,
20,High,8,6,L,,
23,High,8,7,L,,
18,Low,8,4,L,,
20,Low,8,4,L,,
20,Low,8,4,L,,
18,Low,8,7,L,,
25,Low,8,9,L,,
23,Low,8,9,L,,
26,High,20,50,M,,
25,High,20,50,M,,
23,High,20,50,M,,
24,High,20,50,M,,
23,High,20,50,M,,
22,High,20,50,M,,
20,Low,20,50,M,,
25,Low,20,50,M,,
17,Low,20,50,M,,
27,Low,20,50,M,,
16,Low,20,50,M,,
24,Low,20,50,M,,
26,High,17,50,N,,
25,High,17,50,N,,
24,High,17,50,N,,
25,High,17,50,N,,
23,High,17,50,N,,
20,High,17,50,N,,
21,Low,17,8,N,,
16,Low,17,50,N,,
21,Low,17,50,N,,
17,Low,17,50,N,,
17,Low,17,50,N,,
19,Low,17,50,N,,
27,High,14,20,O,,
25,High,14,50,O,,
21,High,14,50,O,,
27,High,14,50,O,,
23,High,14,50,O,,
25,High,14,50,O,,
17,Low,14,4,O,,
21,Low,14,8,O,,
22,Low,14,50,O,,
25,Low,14,50,O,,
17,Low,14,50,O,,
22,Low,14,50,O,,
20,High,5,4,P,,
24,High,5,4,P,,
18,High,5,4,P,,
25,High,5,5,P,,
27,High,5,6,P,,
25,High,5,6,P,,
19,Low,5,4,P,,
18,Low,5,6,P,,
22,Low,5,7,P,,
25,Low,5,8,P,,
25,Low,5,8,P,,
16,Low,5,8,P,,
26,High,8,4,Q,,
25,High,8,4,Q,,
26,High,8,4,Q,,
24,High,8,5,Q,,
24,High,8,6,Q,,
24,High,8,7,Q,,
20,Low,8,4,Q,,
19,Low,8,6,Q,,
20,Low,8,6,Q,,
17,Low,8,7,Q,,
18,Low,8,7,Q,,
22,Low,8,8,Q,,
24,High,17,50,R,,
28,High,17,50,R,,
28,High,17,50,R,,
21,High,17,50,R,,
24,High,17,50,R,,
26,High,17,50,R,,
22,Low,17,19,R,,
22,Low,17,50,R,,
23,Low,17,50,R,,
22,Low,17,50,R,,
18,Low,17,50,R,,
23,Low,17,50,R,,
