date,discharge
01/05/2010,2670
02/05/2010,2770
03/05/2010,2800
04/05/2010,2750
05/05/2010,2720
06/05/2010,2680
07/05/2010,2600
08/05/2010,2500
09/05/2010,2390
10/05/2010,2310
11/05/2010,2250
12/05/2010,2250
13/05/2010,2330
14/05/2010,2420
15/05/2010,2550
16/05/2010,2710
17/05/2010,2940
18/05/2010,3230
19/05/2010,3480
20/05/2010,3930
21/05/2010,4380
22/05/2010,4970
23/05/2010,5270
24/05/2010,5260
25/05/2010,4970
26/05/2010,4590
27/05/2010,4380
28/05/2010,4490
29/05/2010,4550
30/05/2010,4620
31/05/2010,4720
01/06/2010,4830
02/06/2010,4840
03/06/2010,5020
04/06/2010,4860
05/06/2010,4880
06/06/2010,5080
07/06/2010,5150
08/06/2010,5100
09/06/2010,5080
10/06/2010,5180
11/06/2010,5270
12/06/2010,5370
13/06/2010,5510
14/06/2010,5610
15/06/2010,5610
16/06/2010,5680
17/06/2010,5780
18/06/2010,5670
19/06/2010,5500
20/06/2010,5400
21/06/2010,5370
22/06/2010,5330
23/06/2010,5420
24/06/2010,5560
25/06/2010,5690
26/06/2010,5780
27/06/2010,5880
28/06/2010,5950
29/06/2010,5900
30/06/2010,5700
01/07/2010,5430
02/07/2010,5220
03/07/2010,5040
04/07/2010,4860
05/07/2010,4650
06/07/2010,4420
07/07/2010,4340
08/07/2010,4450
09/07/2010,4550
10/07/2010,4530
11/07/2010,4470
12/07/2010,4540
13/07/2010,4590
14/07/2010,4510
15/07/2010,4450
16/07/2010,4370
17/07/2010,4170
18/07/2010,3960
19/07/2010,3820
20/07/2010,3690
21/07/2010,3580
22/07/2010,3500
23/07/2010,3470
24/07/2010,3390
25/07/2010,3380
26/07/2010,3410
27/07/2010,3430
28/07/2010,3430
29/07/2010,3350
30/07/2010,3260
31/07/2010,3190
01/08/2010,3180
02/08/2010,3200
03/08/2010,3180
04/08/2010,3140
05/08/2010,3070
06/08/2010,3010
07/08/2010,2930
08/08/2010,2860
09/08/2010,2840
10/08/2010,2840
11/08/2010,2860
12/08/2010,2840
13/08/2010,2800
14/08/2010,2710
15/08/2010,2640
16/08/2010,2600
17/08/2010,2550
18/08/2010,2540
19/08/2010,2520
20/08/2010,2520
21/08/2010,2500
22/08/2010,2460
23/08/2010,2420
24/08/2010,2310
25/08/2010,2180
26/08/2010,2070
27/08/2010,2030
28/08/2010,1980
29/08/2010,1960
30/08/2010,1980
31/08/2010,2020
01/09/2010,2070
02/09/2010,2010
03/09/2010,1890
04/09/2010,1840
05/09/2010,1870
06/09/2010,1870
07/09/2010,1860
08/09/2010,1880
09/09/2010,1950
10/09/2010,1970
11/09/2010,1890
12/09/2010,1810
13/09/2010,1790
14/09/2010,1740
15/09/2010,1700
16/09/2010,1700
17/09/2010,1690
18/09/2010,1670
19/09/2010,1670
20/09/2010,1810
21/09/2010,1860
22/09/2010,1750
23/09/2010,1750
24/09/2010,1780
25/09/2010,1780
26/09/2010,1880
27/09/2010,1940
28/09/2010,2000
29/09/2010,2350
30/09/2010,2540
01/10/2010,2770
02/10/2010,3090
03/10/2010,3040
04/10/2010,2780
05/10/2010,2550
06/10/2010,2330
07/10/2010,2190
08/10/2010,2080
09/10/2010,2020
10/10/2010,2070
11/10/2010,1980
12/10/2010,1890
13/10/2010,1820
14/10/2010,1770
15/10/2010,1800
16/10/2010,1790
17/10/2010,1770
18/10/2010,1690
19/10/2010,1620
20/10/2010,1560
21/10/2010,1520
22/10/2010,1520
23/10/2010,1720
24/10/2010,1880
25/10/2010,1890
26/10/2010,1810
27/10/2010,1730
28/10/2010,1670
29/10/2010,1610
30/10/2010,1580
31/10/2010,1560
01/11/2010,1630
02/11/2010,1700
03/11/2010,1530
04/11/2010,1480
05/11/2010,1490
06/11/2010,1520
07/11/2010,1550
08/11/2010,1520
09/11/2010,1520
10/11/2010,1530
11/11/2010,1530
12/11/2010,1500
13/11/2010,1460
14/11/2010,1450
15/11/2010,1500
16/11/2010,1610
17/11/2010,1540
18/11/2010,1610
19/11/2010,1650
20/11/2010,1550
21/11/2010,1330
22/11/2010,1110
23/11/2010,870
24/11/2010,800
25/11/2010,750
26/11/2010,800
27/11/2010,860
28/11/2010,908
29/11/2010,1010
30/11/2010,1020
01/12/2010,1060
02/12/2010,1130
03/12/2010,1150
04/12/2010,1140
05/12/2010,1110
06/12/2010,1070
07/12/2010,1010
08/12/2010,994
09/12/2010,1080
10/12/2010,1090
11/12/2010,1060
12/12/2010,1250
13/12/2010,1330
14/12/2010,1200
15/12/2010,1150
16/12/2010,1100
17/12/2010,1050
18/12/2010,1000
19/12/2010,945
20/12/2010,897
21/12/2010,885
22/12/2010,803
23/12/2010,780
24/12/2010,831
25/12/2010,921
26/12/2010,951
27/12/2010,998
28/12/2010,1010
29/12/2010,961
30/12/2010,931
31/12/2010,893
01/01/2011,813.5538144
02/01/2011,742.7340206
03/01/2011,748.96375
04/01/2011,782.742268
05/01/2011,822.9625
06/01/2011,831.695
07/01/2011,862.425
08/01/2011,864.6475
09/01/2011,846.92875
10/01/2011,802.365
11/01/2011,730.1320833
12/01/2011,740.5306667
13/01/2011,740.5517526
14/01/2011,950.0486598
15/01/2011,1018.2575
16/01/2011,1178.81732
17/01/2011,1345.548866
18/01/2011,1088.300632
19/01/2011,942.0470103
20/01/2011,862.495
21/01/2011,851.3624742
22/01/2011,856.335
23/01/2011,863.4787234
24/01/2011,885.8812371
25/01/2011,919.8404124
26/01/2011,931.5806186
27/01/2011,949.2325
28/01/2011,958.445
29/01/2011,960.1958333
30/01/2011,941.4741667
31/01/2011,878.875
01/02/2011,826.13
02/02/2011,833.66375
03/02/2011,905.982268
04/02/2011,1089.88
05/02/2011,1148.917083
06/02/2011,1084.5325
07/02/2011,1099.067083
08/02/2011,1024.937732
09/02/2011,968.8033333
10/02/2011,946.8263918
11/02/2011,931
12/02/2011,975.8708333
13/02/2011,1012.024167
14/02/2011,1008.553402
15/02/2011,1016.295833
16/02/2011,964.9075
17/02/2011,948.5633333
18/02/2011,905.2791667
19/02/2011,854.41
20/02/2011,781.995
21/02/2011,759.1356701
22/02/2011,771.46
23/02/2011,803.5257732
24/02/2011,786.8470103
25/02/2011,747.2498969
26/02/2011,695.2848958
27/02/2011,685.5863542
28/02/2011,728.3185417
01/03/2011,719.1793814
02/03/2011,717.7325
03/03/2011,692.5213402
04/03/2011,674.9
05/03/2011,689.3760417
06/03/2011,712.7213542
07/03/2011,726.0252083
08/03/2011,728.8867708
09/03/2011,720.5628125
10/03/2011,731.3657732
11/03/2011,757.565
12/03/2011,748.71
13/03/2011,763.8465979
14/03/2011,818.6630928
15/03/2011,837.86375
16/03/2011,870.09
17/03/2011,853.9725
18/03/2011,817.47625
19/03/2011,808.2975
20/03/2011,805.40125
21/03/2011,811.21125
22/03/2011,812.025
23/03/2011,812.75125
24/03/2011,814.62375
25/03/2011,812.935
26/03/2011,815.6235052
27/03/2011,824.17875
28/03/2011,839.428866
29/03/2011,826.45375
30/03/2011,867.3393814
31/03/2011,1062.138333
01/04/2011,1067.4
02/04/2011,1141.551667
03/04/2011,1078.64
04/04/2011,1174.136495
05/04/2011,1169.801667
06/04/2011,1194.7975
07/04/2011,1180.030417
08/04/2011,1205.794227
09/04/2011,1210.58125
10/04/2011,1223.852784
11/04/2011,1270.227917
12/04/2011,1312.231667
13/04/2011,1337.819167
14/04/2011,1317.70375
15/04/2011,1292.00125
16/04/2011,1375.395417
17/04/2011,1405.728247
18/04/2011,1454.64
19/04/2011,1390.479583
20/04/2011,1373.22
21/04/2011,1365.965417
22/04/2011,1338.355833
23/04/2011,1340.952917
24/04/2011,1335.334021
25/04/2011,1341.317083
26/04/2011,1396.139381
27/04/2011,1504.258557
28/04/2011,1647.202062
29/04/2011,1829.153814
30/04/2011,1991.329485
01/05/2011,2137.562474
02/05/2011,2462.444536
03/05/2011,2483.192165
04/05/2011,2452.44
05/05/2011,2639.346458
06/05/2011,2874.26875
07/05/2011,3041.835625
08/05/2011,3215.760412
09/05/2011,3401.346907
10/05/2011,3609.072268
11/05/2011,3873.149072
12/05/2011,4167.322052
13/05/2011,4570.359381
14/05/2011,5561.677835
15/05/2011,6155.820313
16/05/2011,6178.807292
17/05/2011,5966.182292
18/05/2011,5992.141753
19/05/2011,6604.161856
20/05/2011,7213.553104
21/05/2011,7534.350042
22/05/2011,7424.975052
23/05/2011,7303.858711
24/05/2011,7521.03851
25/05/2011,7939.547958
26/05/2011,8329.678454
27/05/2011,8604.677302
28/05/2011,8655.227104
29/05/2011,8956.498907
30/05/2011,9259.524938
31/05/2011,9355.474948
01/06/2011,9258.074948
02/06/2011,9036.327031
03/06/2011,8874.437458
04/06/2011,8845.085438
05/06/2011,8948.272823
06/06/2011,9081.833323
07/06/2011,9274.672237
08/06/2011,9325.500083
09/06/2011,9404.025042
10/06/2011,9416.631505
11/06/2011,9413.675
12/06/2011,9279.899896
13/06/2011,9244.475042
14/06/2011,9248.35
15/06/2011,9163.500135
16/06/2011,8961.308385
17/06/2011,8909.110396
18/06/2011,8944.931365
19/06/2011,8851.906281
20/06/2011,8803.264542
21/06/2011,8702.097113
22/06/2011,8877.595763
23/06/2011,9081.991604
24/06/2011,9034.87074
25/06/2011,8844.891615
26/06/2011,8773.716604
27/06/2011,8948.208313
28/06/2011,9011.491615
29/06/2011,8829.697885
30/06/2011,8626.764438
01/07/2011,8529.311309
02/07/2011,8997.733959
03/07/2011,9839.562928
04/07/2011,9915.571206
05/07/2011,9295.49574
06/07/2011,8872.16451
07/07/2011,8758.508271
08/07/2011,8449.137458
09/07/2011,8031.944351
10/07/2011,8056.59799
11/07/2011,8744.014289
12/07/2011,9592.700052
13/07/2011,9862.102969
14/07/2011,9394.729784
15/07/2011,8703.600146
16/07/2011,8352.016771
17/07/2011,8340.950639
18/07/2011,8659.360354
19/07/2011,8680.022763
20/07/2011,8370.281271
21/07/2011,8055.154146
22/07/2011,7882.344402
23/07/2011,7783.633333
24/07/2011,8070.534375
25/07/2011,8183.487438
26/07/2011,7804.453146
27/07/2011,7245.11875
28/07/2011,6827.681568
29/07/2011,6605.570313
30/07/2011,6454.664948
31/07/2011,6347.117188
01/08/2011,6312.554688
02/08/2011,6370.122396
03/08/2011,6425.119792
04/08/2011,6488.903646
05/08/2011,6488.979381
06/08/2011,6234.096354
07/08/2011,5840.294737
08/08/2011,5694.3125
09/08/2011,5563.627604
10/08/2011,5415.781579
11/08/2011,5334.25
12/08/2011,5178.554688
13/08/2011,5063.412708
14/08/2011,4853.602865
15/08/2011,4765.721448
16/08/2011,4680.570938
17/08/2011,4611.04126
18/08/2011,4528.284792
19/08/2011,4504.68166
20/08/2011,4320.90124
21/08/2011,4166.000333
22/08/2011,4069.422823
23/08/2011,4060.26299
24/08/2011,4039.420625
25/08/2011,4286.908969
26/08/2011,4838.086667
27/08/2011,4916.649333
28/08/2011,4835.538052
29/08/2011,4597.356392
30/08/2011,4379.801979
31/08/2011,4204.746781
01/09/2011,4058.91866
02/09/2011,3977.869895
03/09/2011,3856.168947
04/09/2011,3733.20433
05/09/2011,3629.724536
06/09/2011,3567.67825
09/09/2011,3278.348125
10/09/2011,3245.578316
11/09/2011,3216.975625
12/09/2011,3203.75875
13/09/2011,2836.873958
14/09/2011,2242.798351
15/09/2011,2205.44375
16/09/2011,2181.134583
17/09/2011,2157.935258
18/09/2011,2103.489167
19/09/2011,2081.207083
20/09/2011,2099.655833
21/09/2011,2016.779167
22/09/2011,2019.246667
23/09/2011,2025.312083
24/09/2011,2032.681667
25/09/2011,2089.280417
26/09/2011,2594.036495
27/09/2011,3635.781563
28/09/2011,3467.400208
29/09/2011,3155.161458
30/09/2011,2931.182268
01/10/2011,2768.015464
02/10/2011,2578.079167
03/10/2011,2437.375417
04/10/2011,2381.13625
05/10/2011,2367.640625
06/10/2011,2334.080833
07/10/2011,2392.580417
08/10/2011,2430.800833
09/10/2011,2434.055833
10/10/2011,2430.051667
11/10/2011,2490.17875
12/10/2011,2576.933608
13/10/2011,2445.629167
14/10/2011,2334.959167
15/10/2011,2282.814583
16/10/2011,2263.788866
17/10/2011,2237.890417
18/10/2011,2188.962083
19/10/2011,2135.062083
20/10/2011,2124.413196
21/10/2011,2094.658333
22/10/2011,2098.948333
23/10/2011,2151.020833
24/10/2011,2131.123299
25/10/2011,2048.862979
26/10/2011,2044.712917
27/10/2011,2026.901443
28/10/2011,2072.964583
29/10/2011,2081.549583
30/10/2011,2028.927423
31/10/2011,1998.000825
01/11/2011,1920.883333
02/11/2011,1897.429167
03/11/2011,1927.260632
04/11/2011,1887.343333
05/11/2011,1802.178144
06/11/2011,1702.17732
07/11/2011,1617.40625
08/11/2011,1534.607083
09/11/2011,1493.159167
10/11/2011,1449.273333
11/11/2011,1518.03375
12/11/2011,1513.567917
13/11/2011,1553.739583
14/11/2011,1817.403333
15/11/2011,1866.0775
16/11/2011,1787.585979
17/11/2011,1726.381667
18/11/2011,1656.41732
19/11/2011,1593.905833
20/11/2011,1502.924583
21/11/2011,1339.141667
22/11/2011,1323.952577
23/11/2011,1313.496979
24/11/2011,1191.54875
25/11/2011,1200.969167
26/11/2011,1202.711753
27/11/2011,1797.663333
28/11/2011,1734.195833
29/11/2011,1545.710103
30/11/2011,1488.689485
01/12/2011,1451.5925
02/12/2011,1460.897917
03/12/2011,1396.105
04/12/2011,1389.23375
05/12/2011,1359.784167
06/12/2011,1297.329485
07/12/2011,1251.917526
08/12/2011,1216.246186
09/12/2011,1160.508333
10/12/2011,1113.899381
11/12/2011,1076.53
12/12/2011,1043.916701
13/12/2011,1049.895258
14/12/2011,1030.174167
15/12/2011,1058.013333
16/12/2011,1073.2575
17/12/2011,1080.9025
18/12/2011,1129.933608
19/12/2011,1160.920417
20/12/2011,1166.373333
21/12/2011,1156.262917
22/12/2011,1183.837526
23/12/2011,1232.77625
24/12/2011,1241.95
25/12/2011,1244.659583
26/12/2011,1262.982917
27/12/2011,1244.774583
28/12/2011,1356.353333
29/12/2011,1445.743505
30/12/2011,1330.334583
31/12/2011,1261.46875
01/01/2012,1194.804301
02/01/2012,1128.024583
03/01/2012,1114.311667
04/01/2012,1301.303505
05/01/2012,1507.663226
06/01/2012,1365.196883
07/01/2012,1315.6625
08/01/2012,1311.533483
09/01/2012,1396.788235
10/01/2012,1463.035
11/01/2012,1421.652784
12/01/2012,1340.14268
13/01/2012,1280.272
14/01/2012,1315.87
15/01/2012,1299.947216
16/01/2012,1262.758351
17/01/2012,1107.093196
18/01/2012,965.8808247
19/01/2012,761.17875
20/01/2012,743.3805208
21/01/2012,768.4528125
22/01/2012,707.8130208
23/01/2012,733.1986458
24/01/2012,854.27875
25/01/2012,922.1851546
26/01/2012,987.54
27/01/2012,997.6508333
28/01/2012,1004.626667
29/01/2012,1091.954167
30/01/2012,1143.477083
31/01/2012,1132.555876
01/02/2012,1154.988333
02/02/2012,1130.102083
03/02/2012,1111.517333
05/02/2012,1105.246984
06/02/2012,1091.908454
07/02/2012,1048.135258
08/02/2012,1016.917938
09/02/2012,992.545
10/02/2012,985.4316667
11/02/2012,998.3933333
12/02/2012,1007.550435
13/02/2012,1018.024742
14/02/2012,998.7325
15/02/2012,970.82
16/02/2012,944.8508333
17/02/2012,934.2816667
18/02/2012,949.8741667
19/02/2012,952.6608333
20/02/2012,943.7875
21/02/2012,945.6923711
22/02/2012,996.0263918
23/02/2012,902.8458333
24/02/2012,945.4283333
25/02/2012,941.5875
26/02/2012,924.6169072
27/02/2012,894.1331959
28/02/2012,871.7736082
29/02/2012,835.545
01/03/2012,866.7249485
02/03/2012,890.7818557
03/03/2012,885.7678351
04/03/2012,939.8115464
05/03/2012,999.4410959
06/03/2012,957.2178667
07/03/2012,921.0028866
08/03/2012,908.6691304
09/03/2012,919.7195833
10/03/2012,947.3616495
11/03/2012,959.7008333
12/03/2012,965.3426804
13/03/2012,968.8909474
14/03/2012,950.8275
15/03/2012,967.025
16/03/2012,1009.097732
17/03/2012,998.1091667
18/03/2012,1012.235
19/03/2012,991.1620619
20/03/2012,936
21/03/2012,909.9775
22/03/2012,901.8055104
23/03/2012,912.2368673
24/03/2012,898.9902083
25/03/2012,886.1935313
26/03/2012,908.7064639
27/03/2012,908.0385417
28/03/2012,901.0942553
29/03/2012,984.396375
30/03/2012,1026.968719
31/03/2012,1049.39274
01/04/2012,1064.547583
02/04/2012,1073.597427
03/04/2012,1096.333104
04/04/2012,1127.949635
05/04/2012,1171.106073
06/04/2012,1189.086854
07/04/2012,1205.793073
08/04/2012,1219.065268
09/04/2012,1247.964635
10/04/2012,1302.952155
11/04/2012,1363.678708
12/04/2012,1461.909351
13/04/2012,1579.275594
14/04/2012,1687.007371
15/04/2012,1938.598753
16/04/2012,1938.598753
17/04/2012,1938.598753
18/04/2012,1938.598753
19/04/2012,1938.598753
20/04/2012,1938.598753
21/04/2012,1938.598753
22/04/2012,1938.598753
23/04/2012,1938.598753
24/04/2012,1938.598753
25/04/2012,1938.598753
26/04/2012,1938.598753
27/04/2012,1938.598753
28/04/2012,1938.598753
29/04/2012,1938.598753
30/04/2012,1938.598753
01/05/2012,1938.598753
02/05/2012,1938.598753
