date,time,month,region,salinity,site,replicate,treatment,balanus_no,chthamalus_no,digitalis_no,pelta_no,persona_no,paradigitalis_no,scutum_no,unknown_limpets_no,sitkana_no,littorina_spp_no,mytilus_pt,anemone_pt,amphipod_no,masto_crust_pt,mastocarpus_pt,hildenbrandia_pt,diatom_pt,ulva_pt,urospora_pt,pyropia_pt,fucus_pt
NA,NA,July,High,NA,RP,1,exclusion,1116.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8125,0,0,0,0
NA,NA,July,High,NA,RP,1,control,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,2,control,1814.4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3.125,0,0,0,0
NA,NA,July,High,NA,RP,2,exclusion,940.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.375,0,0,0,0
NA,NA,July,High,NA,RP,3,control,1248,217.6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,3,exclusion,700.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,4,control,1235.2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.1875,0,0,0,0
NA,NA,July,High,NA,RP,4,exclusion,774.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9375,0,0,0,0
NA,NA,July,High,NA,RP,5,exclusion,985.6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9.375,0,0,0,0
NA,NA,July,High,NA,RP,5,control,1030.4,150.4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,6,control,304,115.2,0,0,0,0,0,0,0,30,1.5625,0,0,7.8125,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,6,exclusion,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,7,exclusion,646.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,July,High,NA,RP,7,control,1478.4,108.8,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,1,control,2400,259.2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.78125
2011-06-28,10:00:00,July,High,26,EC,1,exclusion,476.8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,2,control,1440,294.4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,2,exclusion,1280,16,0,0,0,0,0,0,0,5,0.78125,0,0,1.5625,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,3,exclusion,1920,246.4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,3,control,1600,473.6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.78125
2011-06-28,10:00:00,July,High,26,EC,4,control,1324.8,156.8,0,0,0,0,0,0,0,45,1.5625,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,4,exclusion,1760,137.6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,5,control,1578.666667,371.2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,5,exclusion,1760,38.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.78125,0
2011-06-28,10:00:00,July,High,26,EC,6,control,963.2,320,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,6,exclusion,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,7,exclusion,1200,60.8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,10:00:00,July,High,26,EC,7,control,3200,246.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,1,control,972.8,57.6,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0.78125
2011-06-29,09:30:00,July,High,23.5,HS,1,exclusion,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.625,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,2,exclusion,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9375,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,2,control,979.2,204.8,0,0,0,1,0,2,0,3,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,3,exclusion,921.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,3,control,127,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,4,exclusion,960,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,4,control,896,115.2,0,0,0,0,0,0,0,1,0,0,0,3.125,0,0,0,0,0,0,0
