site,salinity,day,tank,status
High,5,4,B,1
High,5,4,B,1
High,5,4,B,1
High,5,4,B,1
High,5,5,B,1
High,5,5,B,1
Low,5,4,B,1
Low,5,4,B,1
Low,5,4,B,1
Low,5,4,B,1
Low,5,6,B,1
Low,5,6,B,1
High,5,4,I,1
High,5,4,I,1
High,5,4,I,1
High,5,4,I,1
High,5,4,I,1
High,5,4,I,1
Low,5,4,I,1
Low,5,4,I,1
Low,5,5,I,1
Low,5,5,I,1
Low,5,5,I,1
Low,5,9,I,1
High,5,4,P,1
High,5,4,P,1
High,5,4,P,1
High,5,5,P,1
High,5,6,P,1
High,5,6,P,1
Low,5,4,P,1
Low,5,6,P,1
Low,5,7,P,1
Low,5,8,P,1
Low,5,8,P,1
Low,5,8,P,1
High,8,4,D,1
High,8,4,D,1
High,8,4,D,1
High,8,4,D,1
High,8,6,D,1
High,8,6,D,1
Low,8,5,D,1
Low,8,6,D,1
Low,8,7,D,1
Low,8,7,D,1
Low,8,8,D,1
Low,8,8,D,1
High,8,4,L,1
High,8,4,L,1
High,8,4,L,1
High,8,5,L,1
High,8,6,L,1
High,8,7,L,1
Low,8,4,L,1
Low,8,4,L,1
Low,8,4,L,1
Low,8,7,L,1
Low,8,9,L,1
Low,8,9,L,1
High,8,4,Q,1
High,8,4,Q,1
High,8,4,Q,1
High,8,5,Q,1
High,8,6,Q,1
High,8,7,Q,1
Low,8,4,Q,1
Low,8,6,Q,1
Low,8,6,Q,1
Low,8,7,Q,1
Low,8,7,Q,1
Low,8,8,Q,1
High,11,4,A,1
High,11,8,A,1
High,11,9,A,1
High,11,9,A,1
High,11,9,A,1
High,11,20,A,1
Low,11,6,A,1
Low,11,28,A,0
Low,11,28,A,0
Low,11,28,A,0
Low,11,28,A,0
Low,11,28,A,0
High,11,6,F,1
High,11,7,F,1
High,11,9,F,1
High,11,13,F,1
High,11,13,F,1
High,11,13,F,1
Low,11,4,F,1
Low,11,4,F,1
Low,11,4,F,1
Low,11,4,F,1
Low,11,28,F,0
Low,11,28,F,0
High,11,7,K,1
High,11,7,K,1
High,11,9,K,1
High,11,13,K,1
High,11,27,K,1
High,11,27,K,1
Low,11,28,K,0
Low,11,28,K,0
Low,11,28,K,0
Low,11,28,K,0
Low,11,28,K,0
Low,11,28,K,0
High,14,4,E,1
High,14,27,E,1
High,14,28,E,0
High,14,28,E,0
High,14,28,E,0
High,14,28,E,0
Low,14,28,E,0
Low,14,28,E,0
Low,14,28,E,0
Low,14,28,E,0
Low,14,28,E,0
Low,14,28,E,0
High,14,4,J,1
High,14,28,J,0
High,14,28,J,0
High,14,28,J,0
High,14,28,J,0
High,14,28,J,0
Low,14,28,J,0
Low,14,28,J,0
Low,14,28,J,0
Low,14,28,J,0
Low,14,28,J,0
Low,14,28,J,0
High,14,20,O,1
High,14,28,O,0
High,14,28,O,0
High,14,28,O,0
High,14,28,O,0
High,14,28,O,0
Low,14,4,O,1
Low,14,8,O,1
Low,14,28,O,0
Low,14,28,O,0
Low,14,28,O,0
Low,14,28,O,0
High,17,28,G,0
High,17,28,G,0
High,17,28,G,0
High,17,28,G,0
High,17,28,G,0
High,17,28,G,0
Low,17,28,G,0
Low,17,28,G,0
Low,17,28,G,0
Low,17,28,G,0
Low,17,28,G,0
Low,17,28,G,0
High,17,28,N,0
High,17,28,N,0
High,17,28,N,0
High,17,28,N,0
High,17,28,N,0
High,17,28,N,0
Low,17,8,N,1
Low,17,28,N,0
Low,17,28,N,0
Low,17,28,N,0
Low,17,28,N,0
Low,17,28,N,0
High,17,28,R,0
High,17,28,R,0
High,17,28,R,0
High,17,28,R,0
High,17,28,R,0
High,17,28,R,0
Low,17,19,R,1
Low,17,28,R,0
Low,17,28,R,0
Low,17,28,R,0
Low,17,28,R,0
Low,17,28,R,0
High,20,28,C,0
High,20,28,C,0
High,20,28,C,0
High,20,28,C,0
High,20,28,C,0
High,20,28,C,0
Low,20,28,C,0
Low,20,28,C,0
Low,20,28,C,0
Low,20,28,C,0
Low,20,28,C,0
Low,20,28,C,0
High,20,7,H,1
High,20,28,H,0
High,20,28,H,0
High,20,28,H,0
High,20,28,H,0
High,20,28,H,0
Low,20,28,H,0
Low,20,28,H,0
Low,20,28,H,0
Low,20,28,H,0
Low,20,28,H,0
Low,20,28,H,0
High,20,28,M,0
High,20,28,M,0
High,20,28,M,0
High,20,28,M,0
High,20,28,M,0
High,20,28,M,0
Low,20,28,M,0
Low,20,28,M,0
Low,20,28,M,0
Low,20,28,M,0
Low,20,28,M,0
Low,20,28,M,0
