date,site,region,salinity
2010-05-03,HS,High,25.5
2010-05-04,LB,Low,16.5
2010-06-12,LB,Low,11.2
2010-06-14,EC,High,24.8
2010-06-16,HS,High,27.8
2010-06-30,RS,Low,13.8
2010-07-13,LB,Low,12.3
2010-07-19,CC,Low,16
2010-07-21,EC,High,31
2010-07-22,HS,High,29
2010-07-22,RP,High,30
2010-07-26,RS,Low,22.5
2010-08-17,HS,High,28
2010-08-17,HS,High,28
2010-08-18,RP,High,29.5
2010-08-19,EC,High,30
2010-08-22,RS,Low,23
2010-08-24,LB,Low,15
2010-08-25,CC,Low,15
2011-02-15,RP,High,31
2011-02-16,EC,High,31
2011-02-17,HS,High,26
2011-02-18,CC,Low,28
2011-02-18,RS,Low,29
2011-02-19,LB,Low,28
2011-04-07,RP,High,31
2011-04-07,EC,High,16
2011-04-08,HS,High,32
2011-04-09,RS,Low,28
2011-04-10,CC,Low,21
2011-04-10,LB,Low,27
2011-05-01,EC,High,31
2011-05-02,RP,High,31
2011-05-03,HS,High,29
2011-05-05,RS,Low,23
2011-05-06,CC,Low,21.5
2011-05-16,EC,High,29.5
2011-05-16,RP,High,30
2011-05-17,HS,High,29
2011-05-18,CC,Low,22
2011-05-18,LB,Low,15
2011-05-18,RS,Low,22
2011-06-01,EC,High,30
2011-06-01,RP,High,30
2011-06-01,EC,High,30
2011-06-02,HS,High,27
2011-06-05,CC,Low,12.5
2011-06-05,LB,Low,10
2011-06-06,RS,Low,10
2011-06-27,RP,High,20
2011-06-28,EC,High,26
2011-06-29,HS,High,23.5
2011-06-30,CC,Low,11.5
2011-06-30,LB,Low,8.5
2011-07-06,RS,Low,9
2011-07-15,CC,Low,10
2011-07-15,LB,Low,7.5
2011-07-15,RS,Low,18
2011-07-27,CC,Low,8
2011-07-27,LB,Low,7
2011-07-27,RS,Low,12
2011-08-14,CC,Low,11
2011-08-14,LB,Low,10
2011-08-14,RS,Low,18.5
2011-09-01,EC,High,28
2011-09-01,HS,High,26
2011-09-01,RP,High,28.5
2011-09-10,CC,Low,19
2011-09-10,LB,Low,17.5
2011-09-10,RS,Low,22
2011-12-07,CC,Low,27
2011-12-07,LB,Low,27.5
2011-12-07,RS,Low,26
2012-02-17,RP,High,31
2012-02-18,EC,High,30
2012-02-19,HS,High,30.5
2012-05-02,CC,Low,15
