Sample,Salinity,Growth
1,30,-1.6029
2,30,0.7141
3,30,0.1903
4,30,-1.0337
5,30,-0.9212
6,27.5,-0.581
7,27.5,0.179
8,27.5,1.106
9,27.5,-0.151
10,27.5,-1.2635
11,25,0.7103
12,25,-0.3627
13,25,1.1909
14,25,0.416
15,25,0.4843
16,22.5,-0.211
17,22.5,1.5915
18,22.5,1.0787
19,22.5,1.2741
20,22.5,0.5619
21,20,-0.0891
22,20,0.8157
23,20,0.0177
24,20,0.9792
25,20,2.3655
26,17.5,2.1008
27,17.5,2.631
28,17.5,0.3828
29,17.5,1.6469
30,17.5,0.1103
31,15,3.4017
32,15,1.3092
33,15,0.6906
34,15,0.8882
35,15,0.9939
36,12.5,1.1489
37,12.5,0.9116
38,12.5,0.9642
39,12.5,1.33
40,12.5,1.2046
41,10,2.2143
42,10,1.0166
43,10,1.4546
44,10,2.493
45,10,1.9268
46,7.5,2.8866
47,7.5,2.5319
48,7.5,1.8362
49,7.5,1.3851
50,7.5,1.3141
51,5,0.8861
52,5,0.9679
53,5,0.2894
54,5,0.6437
55,5,1.397
56,2.5,-0.225
57,2.5,-0.056
58,2.5,1.0999
59,2.5,0.6177
60,2.5,-0.4419
61,0,0.4773
62,0,-1.3282
63,0,-1.8385
64,0,-3.489
65,0,-3.1609
