Tank,Salinity,Day,Treatment,Proportion Alive
A,11,1,High,1.00
A,11,2,High,1.00
A,11,3,High,1.00
A,11,4,High,0.83
A,11,5,High,0.83
A,11,6,High,0.83
A,11,7,High,0.83
A,11,8,High,0.67
A,11,9,High,0.17
A,11,10,High,0.17
A,11,11,High,0.17
A,11,12,High,0.17
A,11,13,High,0.17
A,11,14,High,0.17
A,11,15,High,0.17
A,11,16,High,0.17
A,11,17,High,0.17
A,11,18,High,0.17
A,11,19,High,0.17
A,11,20,High,0.00
A,11,21,High,0.00
A,11,22,High,0.00
A,11,23,High,0.00
A,11,24,High,0.00
A,11,25,High,0.00
A,11,26,High,0.00
A,11,27,High,0.00
A,11,28,High,0.00
B,5,1,High,1.00
B,5,2,High,1.00
B,5,3,High,1.00
B,5,4,High,0.33
B,5,5,High,0.00
B,5,6,High,0.00
B,5,7,High,0.00
B,5,8,High,0.00
B,5,9,High,0.00
B,5,10,High,0.00
B,5,11,High,0.00
B,5,12,High,0.00
B,5,13,High,0.00
B,5,14,High,0.00
B,5,15,High,0.00
B,5,16,High,0.00
B,5,17,High,0.00
B,5,18,High,0.00
B,5,19,High,0.00
B,5,20,High,0.00
B,5,21,High,0.00
B,5,22,High,0.00
B,5,23,High,0.00
B,5,24,High,0.00
B,5,25,High,0.00
B,5,26,High,0.00
B,5,27,High,0.00
B,5,28,High,0.00
C,20,1,High,1.00
C,20,2,High,1.00
C,20,3,High,1.00
C,20,4,High,1.00
C,20,5,High,1.00
C,20,6,High,1.00
C,20,7,High,1.00
C,20,8,High,1.00
C,20,9,High,1.00
C,20,10,High,1.00
C,20,11,High,1.00
C,20,12,High,1.00
C,20,13,High,1.00
C,20,14,High,1.00
C,20,15,High,1.00
C,20,16,High,1.00
C,20,17,High,1.00
C,20,18,High,1.00
C,20,19,High,1.00
C,20,20,High,1.00
C,20,21,High,1.00
C,20,22,High,1.00
C,20,23,High,1.00
C,20,24,High,1.00
C,20,25,High,1.00
C,20,26,High,1.00
C,20,27,High,1.00
C,20,28,High,1.00
D,8,1,High,1.00
D,8,2,High,1.00
D,8,3,High,1.00
D,8,4,High,0.33
D,8,5,High,0.33
D,8,6,High,0.00
D,8,7,High,0.00
D,8,8,High,0.00
D,8,9,High,0.00
D,8,10,High,0.00
D,8,11,High,0.00
D,8,12,High,0.00
D,8,13,High,0.00
D,8,14,High,0.00
D,8,15,High,0.00
D,8,16,High,0.00
D,8,17,High,0.00
D,8,18,High,0.00
D,8,19,High,0.00
D,8,20,High,0.00
D,8,21,High,0.00
D,8,22,High,0.00
D,8,23,High,0.00
D,8,24,High,0.00
D,8,25,High,0.00
D,8,26,High,0.00
D,8,27,High,0.00
D,8,28,High,0.00
E,14,1,High,1.00
E,14,2,High,1.00
E,14,3,High,1.00
E,14,4,High,0.83
E,14,5,High,0.83
E,14,6,High,0.83
E,14,7,High,0.83
E,14,8,High,0.83
E,14,9,High,0.83
E,14,10,High,0.83
E,14,11,High,0.83
E,14,12,High,0.83
E,14,13,High,0.83
E,14,14,High,0.83
E,14,15,High,0.83
E,14,16,High,0.83
E,14,17,High,0.83
E,14,18,High,0.83
E,14,19,High,0.83
E,14,20,High,0.83
E,14,21,High,0.83
E,14,22,High,0.83
E,14,23,High,0.83
E,14,24,High,0.83
E,14,25,High,0.83
E,14,26,High,0.83
E,14,27,High,0.67
E,14,28,High,0.67
F,11,1,High,1.00
F,11,2,High,1.00
F,11,3,High,1.00
F,11,4,High,1.00
F,11,5,High,1.00
F,11,6,High,0.83
F,11,7,High,0.67
F,11,8,High,0.67
F,11,9,High,0.50
F,11,10,High,0.50
F,11,11,High,0.50
F,11,12,High,0.50
F,11,13,High,0.00
F,11,14,High,0.00
F,11,15,High,0.00
F,11,16,High,0.00
F,11,17,High,0.00
F,11,18,High,0.00
F,11,19,High,0.00
F,11,20,High,0.00
F,11,21,High,0.00
F,11,22,High,0.00
F,11,23,High,0.00
F,11,24,High,0.00
F,11,25,High,0.00
F,11,26,High,0.00
F,11,27,High,0.00
F,11,28,High,0.00
G,17,1,High,1.00
G,17,2,High,1.00
G,17,3,High,1.00
G,17,4,High,1.00
G,17,5,High,1.00
G,17,6,High,1.00
G,17,7,High,1.00
G,17,8,High,1.00
G,17,9,High,1.00
G,17,10,High,1.00
G,17,11,High,1.00
G,17,12,High,1.00
G,17,13,High,1.00
G,17,14,High,1.00
G,17,15,High,1.00
G,17,16,High,1.00
G,17,17,High,1.00
G,17,18,High,1.00
G,17,19,High,1.00
G,17,20,High,1.00
G,17,21,High,1.00
G,17,22,High,1.00
G,17,23,High,1.00
G,17,24,High,1.00
G,17,25,High,1.00
G,17,26,High,1.00
G,17,27,High,1.00
G,17,28,High,1.00
H,20,1,High,1.00
H,20,2,High,1.00
H,20,3,High,1.00
H,20,4,High,1.00
H,20,5,High,1.00
H,20,6,High,1.00
H,20,7,High,0.83
H,20,8,High,0.83
H,20,9,High,0.83
H,20,10,High,0.83
H,20,11,High,0.83
H,20,12,High,0.83
H,20,13,High,0.83
H,20,14,High,0.83
H,20,15,High,0.83
H,20,16,High,0.83
H,20,17,High,0.83
H,20,18,High,0.83
H,20,19,High,0.83
H,20,20,High,0.83
H,20,21,High,0.83
H,20,22,High,0.83
H,20,23,High,0.83
H,20,24,High,0.83
H,20,25,High,0.83
H,20,26,High,0.83
H,20,27,High,0.83
H,20,28,High,0.83
I,5,1,High,1.00
I,5,2,High,1.00
I,5,3,High,1.00
I,5,4,High,0.00
I,5,5,High,0.00
I,5,6,High,0.00
I,5,7,High,0.00
I,5,8,High,0.00
I,5,9,High,0.00
I,5,10,High,0.00
I,5,11,High,0.00
I,5,12,High,0.00
I,5,13,High,0.00
I,5,14,High,0.00
I,5,15,High,0.00
I,5,16,High,0.00
I,5,17,High,0.00
I,5,18,High,0.00
I,5,19,High,0.00
I,5,20,High,0.00
I,5,21,High,0.00
I,5,22,High,0.00
I,5,23,High,0.00
I,5,24,High,0.00
I,5,25,High,0.00
I,5,26,High,0.00
I,5,27,High,0.00
I,5,28,High,0.00
J,14,1,High,1.00
J,14,2,High,1.00
J,14,3,High,1.00
J,14,4,High,0.83
J,14,5,High,0.83
J,14,6,High,0.83
J,14,7,High,0.83
J,14,8,High,0.83
J,14,9,High,0.83
J,14,10,High,0.83
J,14,11,High,0.83
J,14,12,High,0.83
J,14,13,High,0.83
J,14,14,High,0.83
J,14,15,High,0.83
J,14,16,High,0.83
J,14,17,High,0.83
J,14,18,High,0.83
J,14,19,High,0.83
J,14,20,High,0.83
J,14,21,High,0.83
J,14,22,High,0.83
J,14,23,High,0.83
J,14,24,High,0.83
J,14,25,High,0.83
J,14,26,High,0.83
J,14,27,High,0.83
J,14,28,High,0.83
K,11,1,High,1.00
K,11,2,High,1.00
K,11,3,High,1.00
K,11,4,High,1.00
K,11,5,High,1.00
K,11,6,High,1.00
K,11,7,High,0.67
K,11,8,High,0.67
K,11,9,High,0.50
K,11,10,High,0.50
K,11,11,High,0.50
K,11,12,High,0.50
K,11,13,High,0.33
K,11,14,High,0.33
K,11,15,High,0.33
K,11,16,High,0.33
K,11,17,High,0.33
K,11,18,High,0.33
K,11,19,High,0.33
K,11,20,High,0.33
K,11,21,High,0.33
K,11,22,High,0.33
K,11,23,High,0.33
K,11,24,High,0.33
K,11,25,High,0.33
K,11,26,High,0.33
K,11,27,High,0.00
K,11,28,High,0.00
L,8,1,High,1.00
L,8,2,High,1.00
L,8,3,High,1.00
L,8,4,High,0.50
L,8,5,High,0.33
L,8,6,High,0.17
L,8,7,High,0.00
L,8,8,High,0.00
L,8,9,High,0.00
L,8,10,High,0.00
L,8,11,High,0.00
L,8,12,High,0.00
L,8,13,High,0.00
L,8,14,High,0.00
L,8,15,High,0.00
L,8,16,High,0.00
L,8,17,High,0.00
L,8,18,High,0.00
L,8,19,High,0.00
L,8,20,High,0.00
L,8,21,High,0.00
L,8,22,High,0.00
L,8,23,High,0.00
L,8,24,High,0.00
L,8,25,High,0.00
L,8,26,High,0.00
L,8,27,High,0.00
L,8,28,High,0.00
M,20,1,High,1.00
M,20,2,High,1.00
M,20,3,High,1.00
M,20,4,High,1.00
M,20,5,High,1.00
M,20,6,High,1.00
M,20,7,High,1.00
M,20,8,High,1.00
M,20,9,High,1.00
M,20,10,High,1.00
M,20,11,High,1.00
M,20,12,High,1.00
M,20,13,High,1.00
M,20,14,High,1.00
M,20,15,High,1.00
M,20,16,High,1.00
M,20,17,High,1.00
M,20,18,High,1.00
M,20,19,High,1.00
M,20,20,High,1.00
M,20,21,High,1.00
M,20,22,High,1.00
M,20,23,High,1.00
M,20,24,High,1.00
M,20,25,High,1.00
M,20,26,High,1.00
M,20,27,High,1.00
M,20,28,High,1.00
N,17,1,High,1.00
N,17,2,High,1.00
N,17,3,High,1.00
N,17,4,High,1.00
N,17,5,High,1.00
N,17,6,High,1.00
N,17,7,High,1.00
N,17,8,High,1.00
N,17,9,High,1.00
N,17,10,High,1.00
N,17,11,High,1.00
N,17,12,High,1.00
N,17,13,High,1.00
N,17,14,High,1.00
N,17,15,High,1.00
N,17,16,High,1.00
N,17,17,High,1.00
N,17,18,High,1.00
N,17,19,High,1.00
N,17,20,High,1.00
N,17,21,High,1.00
N,17,22,High,1.00
N,17,23,High,1.00
N,17,24,High,1.00
